question,option1,option2,option3,option4,answer
下列何者為於遙控無人機飛航活動期間，實際操控遙控無人機並應負飛航安全責任之人員?,遙控無人機操作人。,目視觀察員。,觀察員。,協調員。,0
下列何者為於延伸視距飛航作業時，持有遙控無人機操作證，並於遙控無人機活動期間，提供實際操控遙控無人機之操作人必要飛航資訊之人員?,遙控無人機操作人。,目視觀察員。,觀察員。,協調員。,1
下列何者為在以「第一人稱視角」（FPV，first-person view）飛行時，於視距範圍內從旁協助操作人觀察四周環境以保障操作安全之人員?,遙控無人機操作人。,目視觀察員。,觀察員。,協調員。,2
下列何者為依政府機關（構）、學校或法人作業手冊之程序，於飛航管制單位提供操作人空域協調資訊之人員?,遙控無人機操作人。,目視觀察員。,觀察員。,協調員。,3
遙控無人機系統包括下列哪些項目?,遙控無人機（機體）、遙控設備。,通訊及控制信號鏈路。,附屬裝置。,以上皆是。,3
遙控無人機系統中，火箭、彈射軌道、降落傘等發射回收裝置，屬於遙控無人機系統的下列哪一部分?,附屬裝置。,遙控無人機。,遙控設備。,通訊及控制信號鏈路。,0
遙控無人機系統中，機體結構與外型、動力系統、自動駕駛與飛行控制系統、導航系統等，並攜帶任務所需之酬載，屬於遙控無人機系統的下列哪一部分?,附屬裝置。,遙控無人機。,遙控設備。,通訊及控制信號鏈路。,1
遙控無人機系統中，用於操作遙控無人機之設備，屬於遙控無人機系統的下列哪一部分?,附屬裝置。,遙控無人機。,遙控設備。,通訊及控制信號鏈路。,2
遙控無人機系統中，遙控無人機及遙控設備間為操作飛行管理目的之資料鏈接，屬於遙控無人機系統的下列哪一部分?,附屬裝置。,遙控無人機。,遙控設備。,通訊及控制信號鏈路。,3
下列何者為含機體、燃料、電池、負載設備及酬載等遙控無人機之設計重量?,最大巡航重量。,最大降落重量。,最大起飛重量。,最大轉彎重量。,2
延伸視距飛航，指操作人於視距外，藉由目視觀察員於下列哪個範圍內與遙控無人機保持直接目視接觸，並提供遙控無人機操作人必要飛航資訊之操作方式?,其半徑300公尺範圍內。,操作人半徑300公尺範圍內。,其半徑400公尺範圍內。,操作人半徑900公尺範圍內。,0
延伸視距飛航，其最大範圍為以遙控無人機操作人為中心之半徑 X 公尺、相對地面或水面高度低於 Y 呎內之區域。,X為900；Y為400。,X為900；Y為300。,X為600；Y為400。,X為600；Y為300。,0
延伸視距最大範圍，為下列哪個區域?,以遙控無人機操作人為中心之半徑300公尺、相對地面或水面高度低於400呎內之區域。,以遙控無人機操作人為中心之半徑900公尺、相對地面或水面高度低於400呎內之區域。,以遙控無人機操作人為中心之半徑600公尺、相對地面或水面高度低於400呎內之區域。,以遙控無人機操作人為中心之半徑900公尺、相對地面或水面高度低於500呎內之區域。,1
目前遙控無人機之下列哪個功能尚在進行研究開發中，尚無國際一致之標準?,起降功能。,資料鏈接功能。,射頻識別功能。,遙控功能。,2
遙控無人機之下列哪個功能，除其裝置本身之技術外，尚需配合地面接收裝置?,射頻識別功能。,起降功能。,遙控功能。,以上皆是。,0
下列何者係指目視檢查遙控無人機外觀完整、機構及動力系統穩固、註冊號碼依民航法規定標示可辨、操作人應持有合格操作證、遙控設備與無人機間之通訊及控制信號鏈路運作正常、燃油或電力之供應符合飛航之需求等?,安全測試條件。,安全勞動條件。,安全勤務條件。,安全飛航條件。,3
下列何者係指包含酒類、鴉片類、大麻、鎮靜劑及安眠藥、古柯鹼、其他精神刺激藥物、迷幻藥及興奮劑等?,心靈作用物質。,精神作用物質。,視力作用物質。,肌肉作用物質。,1
飛航活動：指自然人或法人以遙控無人機從事下列何種行為?,從事飛航之行為。,從事規則訂定之行為。,從事組員管理之行為。,從事風險評估之行為。,0
自然人從事飛航活動時應遵守下列何種限制?,遵守市場買賣之限制。,遵守公平交易之限制。,遵守區域與操作規範之限制。,遵守自由競爭之限制。,2
下列何者經申請能力審查核准與飛航活動申請，可排除區域與操作規範之限制限制?,自然人。,法人。,自然人及法人。,以上皆非。,1
作業手冊：法人申請下列何者時，自行編撰以敘明操作限制排除事項之相關設備與程序之手冊?,申請財力審查核准。,申請學歷審查核准。,申請道德審查核准。,申請能力審查核准。,3
遙控無人機操作證之分類為下列哪幾種?,自然人、法人與通用等3種。,學習、普通與專業等3種。,輕量、中量與重量等3種。,低速、中速與高速等3種。,1
遙控無人機之專業操作證又可細分為下列哪幾種?,基本級與高級等2級。,初級與高級等2級。,娛樂級與營業級等2級。,工業級與學術級等2級。,0
